# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.156      4.354      2.075
   20000      0.053     13.761      4.532
   30000      0.041     18.278      6.853
   40000      0.044     21.733      9.031
   50000      0.040     27.374     18.944
   60000      0.058     56.672     15.334
   70000      0.040     51.138     26.566
   80000      0.073     80.862     22.239
   90000      0.042     64.807     21.708
  100000      0.039     62.496     27.845
